"startDateTime","endDateTime","tempSingleMean","tempSingleMinimum","tempSingleMaximum","tempSingleVariance","tempSingleNumPts","tempSingleExpUncert","tempSingleStdErMean","finalQF"
"2015-04-23T06:00:00Z","2015-04-23T06:30:00Z",,,,,,,,0
"2015-04-23T06:30:00Z","2015-04-23T07:00:00Z",,,,,,,,0
"2015-04-23T07:00:00Z","2015-04-23T07:30:00Z",,,,,,,,0
"2015-04-23T07:30:00Z","2015-04-23T08:00:00Z",,,,,,,,0
"2015-04-23T08:00:00Z","2015-04-23T08:30:00Z",,,,,,,,0
"2015-04-23T08:30:00Z","2015-04-23T09:00:00Z",,,,,,,,0
"2015-04-23T09:00:00Z","2015-04-23T09:30:00Z",,,,,,,,0
"2015-04-23T09:30:00Z","2015-04-23T10:00:00Z",,,,,,,,0
"2015-04-23T10:00:00Z","2015-04-23T10:30:00Z",,,,,,,,0
"2015-04-23T10:30:00Z","2015-04-23T11:00:00Z",,,,,,,,0
"2015-04-23T11:00:00Z","2015-04-23T11:30:00Z",,,,,,,,0
"2015-04-23T11:30:00Z","2015-04-23T12:00:00Z",,,,,,,,0
"2015-04-23T12:00:00Z","2015-04-23T12:30:00Z",,,,,,,,0
"2015-04-23T12:30:00Z","2015-04-23T13:00:00Z",,,,,,,,0
"2015-04-23T13:00:00Z","2015-04-23T13:30:00Z",,,,,,,,0
"2015-04-23T13:30:00Z","2015-04-23T14:00:00Z",,,,,,,,0
"2015-04-23T14:00:00Z","2015-04-23T14:30:00Z",,,,,,,,0
"2015-04-23T14:30:00Z","2015-04-23T15:00:00Z",,,,,,,,0
"2015-04-23T15:00:00Z","2015-04-23T15:30:00Z",,,,,,,,0
"2015-04-23T15:30:00Z","2015-04-23T16:00:00Z",,,,,,,,0
"2015-04-23T16:00:00Z","2015-04-23T16:30:00Z",,,,,,,,0
"2015-04-23T16:30:00Z","2015-04-23T17:00:00Z",,,,,,,,0
"2015-04-23T17:00:00Z","2015-04-23T17:30:00Z",,,,,,,,0
"2015-04-23T17:30:00Z","2015-04-23T18:00:00Z",18.87814169439275246986653655767440795898,17.7049562376836959742831822950392961502,20.23080599103285948103803093545138835906,0.4895217883708984918378348538681166246533,1776,0.0350820563425710205129881558150373166427,0.016602157618702054198145390273566590622,1
"2015-04-23T18:00:00Z","2015-04-23T18:30:00Z",17.62311118230439532794662227388471364974,17.23689036835737908859300659969449043273,18.18800089642387973754011909477412700653,0.0292384845617864805311647558028198545798,1800,0.0146877554000597806971306624745920998975,0.004030335288077881335244700977682441589422,1
"2015-04-23T18:30:00Z","2015-04-23T19:00:00Z",17.37525533172819436344980204012244939804,17.05692478852583349180349614471197128295,17.78435965285564179794164374470710754394,0.0292378328310011412205504655048571294173,1800,0.0146825982962751292598690966428875981364,0.004030290369398624276964238077880509081296,1
"2015-04-23T19:00:00Z","2015-04-23T19:30:00Z",17.75265999212775369642258738167583942413,16.87722311749810444325703429058194160461,18.52651983067164564999984577298164367675,0.1005981757874222226600835483623086474835,1800,0.0191062714497270136337903068124433048069,0.007475819382345776434317663472484127851203,1
